BEGIN GB-L19 Scripture That Writes Back
PASS GB-L19 jump to 68 / 9.6 body=(68.29, 10.36) velocity=(-1.02, 0.00) feet=9.604999 hp=6
PASS GB-L19 jump to 63 / 9.6 body=(63.29, 10.36) velocity=(-0.89, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 50 body=(50.21, 10.36) velocity=(-1.73, 0.00) feet=9.604999 hp=6
PASS GB-L19 tenant acquired Ink body=(50.21, 10.36) velocity=(-1.73, 0.00) feet=9.604999 hp=6
PASS GB-L19 focus Ink body=(50.21, 10.36) velocity=(-1.73, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 48 body=(48.17, 10.36) velocity=(-4.83, 0.00) feet=9.604999 hp=6
PASS GB-L19 short hop authors a revisitable arc body=(44.31, 10.35) velocity=(-1.02, 0.00) feet=9.6043 hp=6
INK SUPPORT Delayed ink stroke
PASS GB-L19 land on own hardened falling stroke body=(45.72, 12.07) velocity=(0.81, -1.00) feet=11.31652 hp=6
PASS GB-L19 new return arc survives correction body=(45.72, 12.07) velocity=(0.81, -1.00) feet=11.31652 hp=6
PASS GB-L19 jump to 42 / 12.8 body=(42.29, 13.56) velocity=(-0.89, 0.00) feet=12.80652 hp=6
PASS GB-L19 jump to 36 / 9.6 body=(36.27, 10.36) velocity=(-0.89, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 34.95 body=(35.02, 10.36) velocity=(-5.18, 0.00) feet=9.604999 hp=6
PASS GB-L19 jump to 30 / 9.6 body=(30.28, 10.36) velocity=(-0.89, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 28.95 body=(29.02, 10.36) velocity=(-5.32, 0.00) feet=9.604999 hp=6
PASS GB-L19 jump to 24 / 9.6 body=(24.28, 10.36) velocity=(-0.89, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 22.95 body=(23.02, 10.36) velocity=(-5.30, 0.00) feet=9.604999 hp=6
PASS GB-L19 jump to 18 / 9.6 body=(18.28, 10.36) velocity=(-0.89, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 17 body=(17.10, 10.36) velocity=(-4.30, 0.00) feet=9.604999 hp=6
PASS GB-L19 record a running arc to 10 body=(10.32, 8.75) velocity=(-1.10, 0.00) feet=8.003667 hp=6
PASS GB-L19 walk 2 body=(3.07, 8.75) velocity=(-5.50, 0.00) feet=8.004998 hp=6
PASS GB-L19 physical return completed body=(3.07, 8.75) velocity=(-5.50, 0.00) feet=8.004998 hp=6
PASS GB-L19 practice does not award progress body=(3.07, 8.75) velocity=(-5.50, 0.00) feet=8.004998 hp=6
PASS GB-L19 practice never saves its optional Mercy body=(3.07, 8.75) velocity=(-5.50, 0.00) feet=8.004998 hp=6
